store_id,store_name,product_category,date,unit_sales,dollar_sales,store_zip,promotion_flag,price_per_unit,day_of_week,is_weekend,sale_size
LA002,Store_2,Household,2024-09-01,16.0,96.28,90004,True,6.02,Sunday,True,medium
LA001,Store_1,Beverages,2024-09-01,14.0,86.63,90004,True,6.19,Sunday,True,medium
LA004,Store_4,Produce,2024-09-15,18.0,298.26,90003,True,16.57,Sunday,True,large
LA003,Store_3,Household,2024-09-07,7.0,25.69,90001,True,3.67,Saturday,True,small
LA005,Store_5,Household,2024-09-15,11.0,95.3,90001,True,8.66,Sunday,True,medium
LA009,Store_9,Household,2024-09-08,50.0,798.4,90001,True,15.97,Sunday,True,large
LA003,Store_3,Produce,2024-09-08,35.0,235.53,90002,False,6.73,Sunday,True,large
LA002,Store_2,Personal Care,2024-09-13,39.0,777.28,unknown,False,19.93,Friday,False,large
LA004,Store_4,Snacks,2024-09-02,37.0,704.67,90005,True,19.05,Monday,False,large
LA003,Store_3,Personal Care,2024-09-05,36.0,179.0,unknown,False,4.97,Thursday,False,large
LA002,Store_2,Beverages,2024-09-11,38.0,454.88,90001,True,11.97,Wednesday,False,large
LA004,Store_4,Snacks,2024-09-07,35.0,352.63,90001,False,10.08,Saturday,True,large
LA005,Store_5,Produce,2024-09-14,43.0,642.05,unknown,True,14.93,Saturday,True,large
LA009,Store_9,Household,2024-09-02,4.0,11.61,90005,False,2.9,Monday,False,small
LA010,Store_10,Produce,2024-09-02,6.0,57.28,90002,False,9.55,Monday,False,medium
LA005,Store_5,Snacks,2024-09-13,43.0,585.62,90004,False,13.62,Friday,False,large
LA006,Store_6,Snacks,2024-09-10,29.0,493.21,90001,False,17.01,Tuesday,False,large
LA009,Store_9,Beverages,2024-09-10,9.0,60.84,90002,True,6.76,Tuesday,False,medium
LA006,Store_6,Household,2024-09-07,33.0,356.19,90001,True,10.79,Saturday,True,large
LA002,Store_2,Snacks,2024-09-03,35.0,92.7,90003,False,2.65,Tuesday,False,medium
LA008,Store_8,Household,2024-09-12,15.0,90.19,90003,True,6.01,Thursday,False,medium
LA010,Store_10,Beverages,2024-09-09,7.0,89.17,90005,False,12.74,Monday,False,medium
LA002,Store_2,Produce,2024-09-13,13.0,85.61,unknown,False,6.59,Friday,False,medium
LA004,Store_4,Personal Care,2024-09-12,5.0,95.4,90003,False,19.08,Thursday,False,medium
LA009,Store_9,Personal Care,2024-09-10,21.0,194.11,90004,False,9.24,Tuesday,False,large
LA006,Store_6,Personal Care,2024-09-15,29.0,410.68,unknown,False,14.16,Sunday,True,large
LA002,Store_2,Produce,2024-09-10,43.0,575.9,90003,False,13.39,Tuesday,False,large
LA009,Store_9,Produce,2024-09-14,29.0,526.34,90003,False,18.15,Saturday,True,large
LA003,Store_3,Snacks,2024-09-05,25.0,362.28,90004,True,14.49,Thursday,False,large
LA001,Store_1,Personal Care,2024-09-07,25.0,457.18,90001,True,18.29,Saturday,True,large
LA006,Store_6,Personal Care,2024-09-10,27.0,315.58,90004,True,11.69,Tuesday,False,large
LA004,Store_4,Household,2024-09-15,22.0,345.45,90001,False,15.7,Sunday,True,large
LA008,Store_8,Produce,2024-09-01,4.0,79.99,90001,False,20.0,Sunday,True,medium
LA001,Store_1,Snacks,2024-09-08,2.0,26.37,90002,True,13.18,Sunday,True,small
LA004,Store_4,Household,2024-09-04,44.0,563.53,90005,True,12.81,Wednesday,False,large
LA008,Store_8,Personal Care,2024-09-15,47.0,595.23,90004,False,12.66,Sunday,True,large
LA004,Store_4,Household,2024-09-12,22.0,154.74,90002,False,7.03,Thursday,False,large
LA005,Store_5,Personal Care,2024-09-08,45.0,287.08,unknown,False,6.38,Sunday,True,large
LA009,Store_9,Household,2024-09-11,45.0,457.53,90001,False,10.17,Wednesday,False,large
LA005,Store_5,Snacks,2024-09-04,19.0,115.8,90001,True,6.09,Wednesday,False,medium
LA008,Store_8,Snacks,2024-09-11,4.0,26.18,90005,False,6.54,Wednesday,False,small
LA001,Store_1,Snacks,2024-09-05,37.0,706.12,90005,True,19.08,Thursday,False,large
LA002,Store_2,Snacks,2024-09-06,12.0,143.23,90003,True,11.94,Friday,False,medium
LA001,Store_1,Household,2024-09-08,46.0,326.09,unknown,False,7.09,Sunday,True,large
LA001,Store_1,Household,2024-09-06,39.0,603.77,90004,False,15.48,Friday,False,large
LA002,Store_2,Produce,2024-09-08,38.0,726.34,90005,False,19.11,Sunday,True,large
LA007,Store_7,Household,2024-09-11,43.0,166.96,90004,True,3.88,Wednesday,False,large
LA009,Store_9,Personal Care,2024-09-02,6.0,45.97,90001,False,7.66,Monday,False,small
LA009,Store_9,Personal Care,2024-09-15,4.0,21.51,90001,False,5.38,Sunday,True,small
LA004,Store_4,Produce,2024-09-09,9.0,168.28,unknown,False,18.7,Monday,False,large
LA008,Store_8,Snacks,2024-09-04,32.0,601.21,90004,False,18.79,Wednesday,False,large
LA004,Store_4,Produce,2024-09-15,10.0,89.05,90004,True,8.9,Sunday,True,medium
LA002,Store_2,Beverages,2024-09-14,49.0,656.97,90001,True,13.41,Saturday,True,large
LA003,Store_3,Beverages,2024-09-06,40.0,707.0,unknown,True,17.68,Friday,False,large
LA005,Store_5,Household,2024-09-15,43.0,93.27,90004,False,2.17,Sunday,True,medium
LA002,Store_2,Personal Care,2024-09-08,37.0,313.07,unknown,False,8.46,Sunday,True,large
LA007,Store_7,Beverages,2024-09-09,37.0,650.13,90003,True,17.57,Monday,False,large
LA001,Store_1,Household,2024-09-02,32.0,130.89,unknown,True,4.09,Monday,False,medium
LA009,Store_9,Produce,2024-09-14,48.0,723.78,90003,False,15.08,Saturday,True,large
LA006,Store_6,Personal Care,2024-09-02,18.0,97.5,90002,True,5.42,Monday,False,medium
LA010,Store_10,Beverages,2024-09-01,22.0,140.45,90005,True,6.38,Sunday,True,medium
LA006,Store_6,Snacks,2024-09-01,17.0,50.03,90003,False,2.94,Sunday,True,medium
LA006,Store_6,Produce,2024-09-13,34.0,248.48,unknown,False,7.31,Friday,False,large
LA002,Store_2,Personal Care,2024-09-11,21.0,293.41,90001,False,13.97,Wednesday,False,large
LA002,Store_2,Personal Care,2024-09-03,7.0,107.82,90005,False,15.4,Tuesday,False,medium
LA009,Store_9,Beverages,2024-09-11,27.0,225.85,90005,False,8.36,Wednesday,False,large
LA005,Store_5,Beverages,2024-09-12,37.0,411.94,90005,True,11.13,Thursday,False,large
LA006,Store_6,Household,2024-09-04,37.0,224.62,90005,False,6.07,Wednesday,False,large
LA009,Store_9,Produce,2024-09-01,43.0,728.0,90003,False,16.93,Sunday,True,large
LA006,Store_6,Snacks,2024-09-01,10.0,121.94,90001,False,12.19,Sunday,True,medium
LA009,Store_9,Personal Care,2024-09-07,27.0,274.47,90005,True,10.17,Saturday,True,large
LA010,Store_10,Beverages,2024-09-03,10.0,48.33,90004,True,4.83,Tuesday,False,small
LA010,Store_10,Personal Care,2024-09-15,18.0,105.84,90005,True,5.88,Sunday,True,medium
LA005,Store_5,Household,2024-09-10,8.0,17.11,90005,False,2.14,Tuesday,False,small
LA010,Store_10,Produce,2024-09-14,26.0,384.05,90002,False,14.77,Saturday,True,large
LA010,Store_10,Household,2024-09-15,6.0,59.16,90004,True,9.86,Sunday,True,medium
LA006,Store_6,Snacks,2024-09-12,16.0,61.61,unknown,False,3.85,Thursday,False,medium
LA002,Store_2,Personal Care,2024-09-06,30.0,467.4,90005,False,15.58,Friday,False,large
LA002,Store_2,Beverages,2024-09-11,36.0,511.59,90005,False,14.21,Wednesday,False,large
LA003,Store_3,Beverages,2024-09-11,38.0,529.91,90002,False,13.94,Wednesday,False,large
LA009,Store_9,Personal Care,2024-09-03,33.0,280.93,90004,False,8.51,Tuesday,False,large
LA004,Store_4,Snacks,2024-09-08,10.0,33.89,90005,True,3.39,Sunday,True,small
LA008,Store_8,Household,2024-09-15,50.0,443.69,90002,False,8.87,Sunday,True,large
LA005,Store_5,Personal Care,2024-09-02,24.0,287.56,90001,True,11.98,Monday,False,large
LA003,Store_3,Personal Care,2024-09-09,33.0,153.53,90003,False,4.65,Monday,False,large
LA001,Store_1,Beverages,2024-09-14,26.0,286.94,90003,True,11.04,Saturday,True,large
LA008,Store_8,Produce,2024-09-15,1.0,18.31,unknown,True,18.31,Sunday,True,small
LA008,Store_8,Beverages,2024-09-03,32.0,407.72,90003,True,12.74,Tuesday,False,large
LA007,Store_7,Produce,2024-09-01,23.0,145.59,90003,False,6.33,Sunday,True,medium
LA006,Store_6,Beverages,2024-09-05,23.0,272.05,90004,True,11.83,Thursday,False,large
LA006,Store_6,Personal Care,2024-09-06,45.0,492.99,90005,False,10.96,Friday,False,large
LA001,Store_1,Beverages,2024-09-05,16.0,256.21,90002,False,16.01,Thursday,False,large
LA008,Store_8,Household,2024-09-12,29.0,456.33,90002,True,15.74,Thursday,False,large
LA002,Store_2,Snacks,2024-09-01,32.0,362.22,90005,True,11.32,Sunday,True,large
LA009,Store_9,Snacks,2024-09-12,50.0,596.17,90001,True,11.92,Thursday,False,large
LA002,Store_2,Produce,2024-09-02,17.0,233.25,90005,False,13.72,Monday,False,large
LA007,Store_7,Household,2024-09-05,33.0,399.62,90002,False,12.11,Thursday,False,large
LA002,Store_2,Household,2024-09-02,25.0,438.87,90003,False,17.55,Monday,False,large
LA001,Store_1,Personal Care,2024-09-03,33.0,337.6,90004,True,10.23,Tuesday,False,large
LA006,Store_6,Personal Care,2024-09-02,4.0,49.06,90004,True,12.26,Monday,False,small
LA009,Store_9,Produce,2024-09-09,44.0,571.95,90003,True,13.0,Monday,False,large
LA009,Store_9,Snacks,2024-09-12,13.0,166.98,90003,False,12.84,Thursday,False,large
LA010,Store_10,Beverages,2024-09-08,38.0,404.63,unknown,False,10.65,Sunday,True,large
LA002,Store_2,Beverages,2024-09-07,29.0,221.75,90005,True,7.65,Saturday,True,large
LA006,Store_6,Personal Care,2024-09-06,35.0,285.67,unknown,False,8.16,Friday,False,large
LA005,Store_5,Beverages,2024-09-10,37.0,524.63,90002,False,14.18,Tuesday,False,large
LA005,Store_5,Household,2024-09-02,46.0,157.44,90005,False,3.42,Monday,False,large
LA009,Store_9,Snacks,2024-09-08,4.0,15.21,90001,False,3.8,Sunday,True,small
LA001,Store_1,Household,2024-09-01,37.0,475.45,90004,False,12.85,Sunday,True,large
LA003,Store_3,Household,2024-09-01,19.0,232.18,90004,True,12.22,Sunday,True,large
LA009,Store_9,Beverages,2024-09-11,26.0,365.21,90001,True,14.05,Wednesday,False,large
LA005,Store_5,Snacks,2024-09-13,29.0,451.46,unknown,False,15.57,Friday,False,large
LA003,Store_3,Produce,2024-09-15,24.0,227.65,90002,False,9.49,Sunday,True,large
LA009,Store_9,Produce,2024-09-07,35.0,164.41,unknown,False,4.7,Saturday,True,large
LA009,Store_9,Household,2024-09-15,47.0,112.42,90001,False,2.39,Sunday,True,medium
LA007,Store_7,Beverages,2024-09-12,35.0,696.3,90002,True,19.89,Thursday,False,large
LA009,Store_9,Household,2024-09-05,8.0,41.7,90001,False,5.21,Thursday,False,small
LA001,Store_1,Personal Care,2024-09-10,44.0,657.52,90003,False,14.94,Tuesday,False,large
LA003,Store_3,Snacks,2024-09-09,47.0,741.6,90001,True,15.78,Monday,False,large
LA004,Store_4,Beverages,2024-09-07,7.0,88.84,unknown,False,12.69,Saturday,True,medium
LA001,Store_1,Personal Care,2024-09-13,15.0,175.74,unknown,True,11.72,Friday,False,large
LA010,Store_10,Produce,2024-09-11,39.0,620.32,90005,False,15.91,Wednesday,False,large
LA004,Store_4,Household,2024-09-14,18.0,55.75,90003,True,3.1,Saturday,True,medium
LA009,Store_9,Personal Care,2024-09-07,14.0,247.11,90002,False,17.65,Saturday,True,large
