store_id,store_name,product_category,date,Unit sales,DOLLAR SALES,store_zip,promotion_flag
LA002,Store_2,Household,9/1/24,16.0,96.28,90004,True
LA001,Store_1,Beverages,9/1/24,14.0,86.63,90004,True
LA004,Store_4,Produce,9/15/24,18.0,298.26,90003,True
LA003,Store_3,Household,9/7/24,7.0,25.69,90001,True
LA005,Store_5,Household,9/15/24,11.0,95.3,90001,True
LA009,Store_9,Household,9/8/24,50.0,798.4,90001,True
LA003,Store_3,Produce,9/8/24,35.0,235.53,90002,False
LA002,Store_2,Personal Care,9/13/24,39.0,777.28,900XX,False
LA004,Store_4,Snacks,9/2/24,37.0,704.67,90005,True
LA003,Store_3,Personal Care,9/5/24,36.0,179.0,900XX,False
LA002,Store_2,beverages,9/11/24,38.0,454.88,90001,True
LA004,Store_4,Snacks,9/7/24,35.0,352.63,90001,False
LA005,Store_5,Produce,9/14/24,43.0,642.05,900XX,True
LA009,Store_9,Household,9/2/24,4.0,11.61,90005,False
LA010,Store_10,Produce,9/2/24,6.0,57.28,90002,False
LA005,Store_5,Snacks,9/13/24,43.0,585.62,90004,False
LA006,Store_6,Snacks,9/10/24,29.0,493.21,90001,False
LA009,Store_9,Beverages,9/10/24,9.0,60.84,90002,True
LA006,Store_6,Household,9/7/24,33.0,356.19,90001,True
LA002,Store_2,Snacks,9/3/24,35.0,92.7,90003,False
LA008,Store_8,Household,9/12/24,15.0,90.19,90003,True
LA010,Store_10,Beverages,9/9/24,7.0,89.17,90005,False
LA002,Store_2,produce,9/13/24,13.0,85.61,900XX,False
LA004,Store_4,Personal Care,9/12/24,5.0,95.4,90003,False
LA009,Store_9,Personal Care,9/10/24,21.0,194.11,90004,False
LA006,Store_6,Personal Care,9/15/24,29.0,410.68,900XX,False
LA002,Store_2,Produce,9/10/24,43.0,575.9,90003,False
LA009,Store_9,Produce,9/14/24,29.0,526.34,90003,False
LA003,Store_3,Snacks,9/5/24,25.0,362.28,90004,True
LA001,Store_1,Personal Care,9/7/24,25.0,457.18,90001,True
LA006,Store_6,Personal Care,9/10/24,27.0,315.58,90004,True
LA004,Store_4,Household,9/15/24,22.0,345.45,90001,False
LA008,Store_8,Produce,9/1/24,4.0,79.99,90001,False
LA001,Store_1,Snacks,9/8/24,2.0,26.37,90002,True
LA004,Store_4,Household,9/4/24,44.0,563.53,90005,True
LA008,Store_8,Personal Care,9/15/24,47.0,595.23,90004,False
LA004,Store_4,Household,9/12/24,22.0,154.74,90002,False
LA005,Store_5,Personal Care,9/8/24,45.0,287.08,900XX,False
LA009,Store_9,Household,9/11/24,45.0,457.53,90001,False
LA005,Store_5,Snacks,9/4/24,19.0,115.8,90001,True
LA008,Store_8,Snacks,9/11/24,4.0,26.18,90005,False
LA001,Store_1,Snacks,9/5/24,37.0,706.12,90005,True
LA002,Store_2,snacks,9/6/24,12.0,143.23,90003,True
LA001,Store_1,Household,9/8/24,46.0,326.09,900XX,False
LA001,Store_1,Household,9/6/24,39.0,603.77,90004,False
LA002,Store_2,Produce,9/8/24,38.0,726.34,90005,False
LA007,Store_7,Household,9/11/24,43.0,166.96,90004,True
LA009,Store_9,Personal Care,9/2/24,6.0,45.97,90001,False
LA009,Store_9,Personal Care,9/15/24,4.0,21.51,90001,False
LA004,Store_4,Produce,9/9/24,9.0,168.28,900XX,False
LA008,Store_8,Snacks,9/4/24,32.0,601.21,90004,False
LA004,Store_4,Produce,9/15/24,10.0,89.05,90004,True
LA002,Store_2,Beverages,9/14/24,49.0,656.97,90001,True
LA003,Store_3,Beverages,9/6/24,40.0,707.0,900XX,True
LA005,Store_5,Household,9/15/24,43.0,93.27,90004,False
LA002,Store_2,Personal Care,9/8/24,37.0,313.07,900XX,False
LA007,Store_7,Beverages,9/9/24,37.0,650.13,90003,True
LA001,Store_1,Household,9/2/24,32.0,130.89,900XX,True
LA009,Store_9,Produce,9/14/24,48.0,723.78,90003,False
LA006,Store_6,Personal Care,9/2/24,18.0,97.5,90002,True
LA010,Store_10,Beverages,9/1/24,22.0,140.45,90005,True
LA006,Store_6,Snacks,9/1/24,17.0,50.03,90003,False
LA006,Store_6,Produce,9/13/24,34.0,248.48,900XX,False
LA002,Store_2,Personal Care,9/11/24,21.0,293.41,90001,False
LA002,Store_2,Personal Care,9/3/24,7.0,107.82,90005,False
LA009,Store_9,Beverages,9/11/24,27.0,225.85,90005,False
LA005,Store_5,Beverages,9/12/24,37.0,411.94,90005,True
LA006,Store_6,Household,9/4/24,37.0,224.62,90005,False
LA009,Store_9,Produce,9/1/24,43.0,728.0,90003,False
LA006,Store_6,Snacks,9/1/24,10.0,121.94,90001,False
LA009,Store_9,Personal Care,9/7/24,27.0,274.47,90005,True
LA010,Store_10,Beverages,9/3/24,10.0,48.33,90004,True
LA010,Store_10,Personal Care,9/15/24,18.0,105.84,90005,True
LA005,Store_5,Household,9/10/24,8.0,17.11,90005,False
